fac,hospital_name,hospital_type,hospital_type_group,robots_allowed,cihi_peer_group,licensed_beds,hospital_name_self_reported,plan_period_start,plan_period_end,plan_start_year,plan_period_start_raw,plan_period_end_raw,plan_period_parse_ok,vision,mission,values,purpose,extraction_quality,extraction_notes,source_type,extraction_date,direction_number,direction_name,direction_type,direction_description,key_actions
662,GERALDTON DISTRICT HOSPITAL,Small Hospital,Community — Small,TRUE,NA,NA,Geraldton District Hospital,2024-01-01,2028-01-01,2024,2024,2028,TRUE,A Healthy Greenstone,NA,Trust | Safety | Innovation,We're Here for You,full,"Plan end date is 2028 based on document title 'Strategic Plan 2028', but specific start date not provided. Document includes purpose statement as distinct from vision and mission.",pdf,2026-03-27,1,Invest in Care,direction,Building for our Future,"Reduce the need to travel outside of Geraldton for health services | Modernize the facilities at GDH | Invest in medical imaging and diagnostic equipment (i.e., CT scanner) | Focus on clinical integration opportunities (i.e., Hospital Information System upgrade) | Redevelop the first floor of the hospital | Invest in health services to accommodate the growing seniors' population"
662,GERALDTON DISTRICT HOSPITAL,Small Hospital,Community — Small,TRUE,NA,NA,Geraldton District Hospital,2024-01-01,2028-01-01,2024,2024,2028,TRUE,A Healthy Greenstone,NA,Trust | Safety | Innovation,We're Here for You,full,"Plan end date is 2028 based on document title 'Strategic Plan 2028', but specific start date not provided. Document includes purpose statement as distinct from vision and mission.",pdf,2026-03-27,2,Unleash Our Potential,direction,Innovation & Creativity to Empower our People,Seek opportunities for healthcare workforce innovation | Aim to fully staff the hospital; no more agency staffing | Focus on succession planning and leadership development | Develop creative recruitment and retention strategies | Recruit families and communities | Work with Municipalities and Townships
662,GERALDTON DISTRICT HOSPITAL,Small Hospital,Community — Small,TRUE,NA,NA,Geraldton District Hospital,2024-01-01,2028-01-01,2024,2024,2028,TRUE,A Healthy Greenstone,NA,Trust | Safety | Innovation,We're Here for You,full,"Plan end date is 2028 based on document title 'Strategic Plan 2028', but specific start date not provided. Document includes purpose statement as distinct from vision and mission.",pdf,2026-03-27,3,Collaborate with Partners,direction,Better Care through Collaboration,Strengthen our relationships with Greenstone health service providers | Work with area First Nations communities | Look for ways to work with partners
663,Huron HealthGODERICH ALEXANDRA MARINE & GEN,Small Hospital,Community — Small,TRUE,NA,NA,Huron Health System,2023-01-01,2026-01-01,2023,2023,2026,TRUE,A quality-driven health care system focused on the changing needs of our communities,Partnering to provide excellent person-centred care,Inclusive | Compassionate | Accountable | Respectful | Equitable,NA,full,NA,pdf,2026-03-27,1,Partnering with Patients & Families,direction,We will partner with patients and families in the provision of quality person-centred care,Improve patient care through timely access to an array of health services offered through a collaborative care approach | Enhance coordinated care and care transitions by working together with our health care partners across our region | Help patients and families to make informed decisions and be more active in their care through two-way communication and improved access to information and education | Tailor our services to ensure that resources are matched to the requirements of the individuals we serve and that we are responding to the needs of our community
663,Huron HealthGODERICH ALEXANDRA MARINE & GEN,Small Hospital,Community — Small,TRUE,NA,NA,Huron Health System,2023-01-01,2026-01-01,2023,2023,2026,TRUE,A quality-driven health care system focused on the changing needs of our communities,Partnering to provide excellent person-centred care,Inclusive | Compassionate | Accountable | Respectful | Equitable,NA,full,NA,pdf,2026-03-27,2,Empowering Our People,direction,We are passionate about our people and work hard to support an empowered and engaged team.,"Create a high trust organization where all members of our care community feel supported, appreciated, and inspired to share their ideas and expertise | Provide relevant development opportunities and training aligned with the goals and learning needs of our team members including volunteers, students, staff, physicians, and governors | Establish processes to create, retain and actively transfer knowledge throughout our organization to enable continuous improvement"
663,Huron HealthGODERICH ALEXANDRA MARINE & GEN,Small Hospital,Community — Small,TRUE,NA,NA,Huron Health System,2023-01-01,2026-01-01,2023,2023,2026,TRUE,A quality-driven health care system focused on the changing needs of our communities,Partnering to provide excellent person-centred care,Inclusive | Compassionate | Accountable | Respectful | Equitable,NA,full,NA,pdf,2026-03-27,3,Ensuring Operational Excellence,direction,We will optimize our processes and align operational efforts to make the best use of our resources.,"Strengthen our use of data and technology to ensure efficiencies and to effectively articulate our resource requirements | Complete clinical services planning to clearly define the services to be provided at each site and the required ongoing investment to ensure our programs are sustainable | Modernize our infrastructure and capital assets in alignment with our clinical services plan | Reduce unnecessary duplication and standardize our processes, tools, and technology across our sites to optimize the resources available for direct patient care"
663,Huron HealthGODERICH ALEXANDRA MARINE & GEN,Small Hospital,Community — Small,TRUE,NA,NA,Huron Health System,2023-01-01,2026-01-01,2023,2023,2026,TRUE,A quality-driven health care system focused on the changing needs of our communities,Partnering to provide excellent person-centred care,Inclusive | Compassionate | Accountable | Respectful | Equitable,NA,full,NA,pdf,2026-03-27,4,Innovating through Partnership,direction,We will work with our partners to find innovative approaches that meet the needs of the communities we serve.,Provide leadership as partners in the development of our regional health system and the establishment of integrated care strategies that span the health care continuum | Contribute to the strengthening of upstream and community-based resources so that our hospitals can focus on the necessary care that we provide as part of our regional health care community | Identify and advance cross-system opportunities for cost saving initiatives that will enable re-investment in community care
665,GUELPH GENERAL,Large Community Hospital,Community — Large,TRUE,NA,NA,Guelph General Hospital,2022-01-01,2027-01-01,2022,2022,2027,TRUE,"Together, a healthier community for everyone",Exemplary and equitable care for and with our community,Compassionate | Inclusive | Respectful | Collaborative | Inspired,NA,full,NA,pdf,2026-03-27,1,Welcome patients and care partners as team members,direction,"We include each patient—and their care partners—as a member of our team. We commit to increasing our knowledge and cultural competency to ensure our practices and processes are inclusive, accessible, and equitable for all",implementing enhanced language translation services to support patients with a first language other than English | conducting an inventory of the written materials we provide patients
665,GUELPH GENERAL,Large Community Hospital,Community — Large,TRUE,NA,NA,Guelph General Hospital,2022-01-01,2027-01-01,2022,2022,2027,TRUE,"Together, a healthier community for everyone",Exemplary and equitable care for and with our community,Compassionate | Inclusive | Respectful | Collaborative | Inspired,NA,full,NA,pdf,2026-03-27,2,Invest in our team,direction,"We support our team to engage in ongoing learning. We understand that a strong health care system starts with the well-being of our people. We commit to investing in our team to ensure they are supported and safe at work. We promote a culture of diversity, gratitude, and appreciation where everyone feels valued","providing a supportive and safe workplace | ongoing opportunities for personal and professional growth | EDI (equity, diversity and inclusion) training for all staff | hospital and department orientation will be reviewed and prioritized | identify opportunities to enhance new employees' work experiences and implement solutions that will provide a strong foundation for success during the first three months of their employment"
665,GUELPH GENERAL,Large Community Hospital,Community — Large,TRUE,NA,NA,Guelph General Hospital,2022-01-01,2027-01-01,2022,2022,2027,TRUE,"Together, a healthier community for everyone",Exemplary and equitable care for and with our community,Compassionate | Inclusive | Respectful | Collaborative | Inspired,NA,full,NA,pdf,2026-03-27,3,Collaborate to provide integrated patient care,direction,We focus on improving how we work together within our hospital between both programs and departments. We commit to collaboration with our partners to deliver a seamless care model,Patient Flow Improvement Project | improvement of communication and collaboration between departments supporting the patient's journey from the Emergency Department to the Medicine Unit
665,GUELPH GENERAL,Large Community Hospital,Community — Large,TRUE,NA,NA,Guelph General Hospital,2022-01-01,2027-01-01,2022,2022,2027,TRUE,"Together, a healthier community for everyone",Exemplary and equitable care for and with our community,Compassionate | Inclusive | Respectful | Collaborative | Inspired,NA,full,NA,pdf,2026-03-27,4,"Use technology to enhance quality, efficiency, and safety",direction,We implement and update technologies to provide the best tools to those who need them. We use our technology to its fullest potential to improve safety and quality of care,"Plan and implement a new health information system to enhance patient care and communication, reduce redundant tasks, improve safety, and minimize risk | Enrich systems and processes to improve efficiency and quality of care | Use the capabilities of our existing technologies to support the flow of information and communication | Upgrade obsolete information technologies in a manner that utilizes the state-of-the-art systems to support our teams and our patients"
665,GUELPH GENERAL,Large Community Hospital,Community — Large,TRUE,NA,NA,Guelph General Hospital,2022-01-01,2027-01-01,2022,2022,2027,TRUE,"Together, a healthier community for everyone",Exemplary and equitable care for and with our community,Compassionate | Inclusive | Respectful | Collaborative | Inspired,NA,full,NA,pdf,2026-03-27,5,Design and plan for the future,direction,"We collaborate with our community to design a state-of-the-art hospital that meets the needs of our growing and changing population. We commit to environmental sustainability and conservation, and building a green hospital","engage with leaders in Guelph-Wellington to discuss our plans and obtain approval | ensure our community, all of those who we serve, understand and support what we are doing collaboratively | developing strategies for assessing our current state and tracking our efforts | identify where there are opportunities for improvement and what can be done to get better"
666,GUELPH ST JOSEPH'S HEALTH CENTRE,Small Hospital,Community — Small,TRUE,NA,NA,St. Joseph's Health Centre Guelph,2020-01-01,2023-01-01,2020,2020,2023,TRUE,"St. Joseph's Health Centre Guelph is a leader in providing outstanding healthcare and support to residents, patients, families, and the broader community we serve.","Inspired by the legacy of the Sisters of St. Joseph, we are dedicated to compassionate, person-centred care through discovery, innovation, and partnerships.",Compassion | Accountability | Respect | Excellence,NA,full,NA,pdf_image,2026-03-31,1,Leading,direction,Providing an integrated system of care,"With our partners, develop a local plan to deliver integrated health services as a core member of an early adopter Ontario Health Team | Co-design and implement a model of care based around the needs of people | Lead the enhancement of the elder care experience across the St. Joseph's Health System | Optimize outpatient services"
666,GUELPH ST JOSEPH'S HEALTH CENTRE,Small Hospital,Community — Small,TRUE,NA,NA,St. Joseph's Health Centre Guelph,2020-01-01,2023-01-01,2020,2020,2023,TRUE,"St. Joseph's Health Centre Guelph is a leader in providing outstanding healthcare and support to residents, patients, families, and the broader community we serve.","Inspired by the legacy of the Sisters of St. Joseph, we are dedicated to compassionate, person-centred care through discovery, innovation, and partnerships.",Compassion | Accountability | Respect | Excellence,NA,full,NA,pdf_image,2026-03-31,2,Learning,direction,Achieving operational excellence through innovation & continuous improvement,"Continue to raise the bar around client experience and quality standards | Create program, change management, and communications functions to enable strategic goals | Support an initiative consistent with our mission in the Guelph community | Improve access to care in our Geriatric clinic | Implement a 5-Year IT Strategic Plan, with supporting cross-functional capital planning"
666,GUELPH ST JOSEPH'S HEALTH CENTRE,Small Hospital,Community — Small,TRUE,NA,NA,St. Joseph's Health Centre Guelph,2020-01-01,2023-01-01,2020,2020,2023,TRUE,"St. Joseph's Health Centre Guelph is a leader in providing outstanding healthcare and support to residents, patients, families, and the broader community we serve.","Inspired by the legacy of the Sisters of St. Joseph, we are dedicated to compassionate, person-centred care through discovery, innovation, and partnerships.",Compassion | Accountability | Respect | Excellence,NA,full,NA,pdf_image,2026-03-31,3,Building,direction,Developing a seniors-centric campus of care,Build a shared vision for the future of the property | Complete the Silver Maple Seniors Townhomes Community Project | Increase our renewable energy consumption | Expand long-term care and priority acuity beds
666,GUELPH ST JOSEPH'S HEALTH CENTRE,Small Hospital,Community — Small,TRUE,NA,NA,St. Joseph's Health Centre Guelph,2020-01-01,2023-01-01,2020,2020,2023,TRUE,"St. Joseph's Health Centre Guelph is a leader in providing outstanding healthcare and support to residents, patients, families, and the broader community we serve.","Inspired by the legacy of the Sisters of St. Joseph, we are dedicated to compassionate, person-centred care through discovery, innovation, and partnerships.",Compassion | Accountability | Respect | Excellence,NA,full,NA,pdf_image,2026-03-31,4,Caring,direction,Creating an engaged and inspired workforce,"Create an integrated people strategy | Attract, hire, and retain values-driven, high-performing staff | Ensure a ready pipeline of volunteers | Increase leadership bench strength"
674,HAMILTON ST JOSEPH'S,Teaching Hospital,Teaching,TRUE,NA,NA,St. Joseph's Health System,2025-01-01,2030-01-01,2025,2025,2030,TRUE,"As a leading Catholic health care organization, we will serve all people with compassion, deliver exceptional, innovative care and relentlessly pursue solutions for a better tomorrow",Unstoppable Compassion,Dignity | Respect | Service | Responsibility | Justice | Discovery,NA,full,"Document is a comprehensive strategic plan for St. Joseph's Health System, which includes St. Joseph's Healthcare Hamilton, St. Joseph's Home Care, and St. Joseph's Villa Dundas. The plan includes two foundational commitments/enablers that are woven into all strategic directions.",pdf,2026-03-27,1,Advance health,direction,Advance our ability to deliver high-quality and accessible care that enables people and communities to thrive.,"Relentlessly pursue excellence in our operations and care delivery to drive efficiency and enable us to meet the increasing demands for care | Expand quality and measurement-based care using data to guide decision making and to realize quality outcomes and care | Work with partners to increase access to primary care providers within our region ensuring primary care needs are addressed in the appropriate care setting | Build new opportunities in home care to increase community access | Implement Indigenous-led services that restore access to traditional medicines and provide holistic, culturally grounded, trauma-informed care alongside Western clinical practices | Remove barriers and expand inclusive, culturally adapted care for all patients, clients and residents, including 2SLGBTQ+, Black, Indigenous and other racialized communities | Responsibly adopt technologies and artificial intelligence that enable data-driven insights to inform care delivery, improve forecasting and resource allocation to reduce administrative burden, increase productivity, drive quality and cultivate compassionate care | Construct and modernize buildings and care spaces across St. Joe's Hamilton, St. Joe's Home Care and St. Joe's Villa to adhere to modern care and inclusive design standards to meet our shared functional needs and the needs of the future | Optimize capital asset utilization by evaluating, and leasing or selling underutilized real estate, ensuring fiscal responsibility and community reinvestment"
674,HAMILTON ST JOSEPH'S,Teaching Hospital,Teaching,TRUE,NA,NA,St. Joseph's Health System,2025-01-01,2030-01-01,2025,2025,2030,TRUE,"As a leading Catholic health care organization, we will serve all people with compassion, deliver exceptional, innovative care and relentlessly pursue solutions for a better tomorrow",Unstoppable Compassion,Dignity | Respect | Service | Responsibility | Justice | Discovery,NA,full,"Document is a comprehensive strategic plan for St. Joseph's Health System, which includes St. Joseph's Healthcare Hamilton, St. Joseph's Home Care, and St. Joseph's Villa Dundas. The plan includes two foundational commitments/enablers that are woven into all strategic directions.",pdf,2026-03-27,2,Amplify impact,direction,Amplify our collective impact and partner to provide life long care for those who need us most.,"Address the social determinants of health through new and sustained partnerships and programs for underserved populations | Share corporate support and infrastructure resources across all campuses | Be a leader in the care of priority populations by measuring quality and patient experience outcomes | Create shared strategies and frameworks that advance Indigenous ReconciliAction and equity, diversity, and inclusion and co-create accountability metrics with Indigenous, diverse and marginalized communities | Advance scientific knowledge and innovate care models by expanding shared education and research teams across St. Joe's sites, supporting clinical integration and expanding key academic partnerships | Ensure our physical plant redevelopment, operations and procurements continue to reduce our carbon footprint and are mindful of climate change | Celebrate our mission, ongoing initiatives and accomplishments"
674,HAMILTON ST JOSEPH'S,Teaching Hospital,Teaching,TRUE,NA,NA,St. Joseph's Health System,2025-01-01,2030-01-01,2025,2025,2030,TRUE,"As a leading Catholic health care organization, we will serve all people with compassion, deliver exceptional, innovative care and relentlessly pursue solutions for a better tomorrow",Unstoppable Compassion,Dignity | Respect | Service | Responsibility | Justice | Discovery,NA,full,"Document is a comprehensive strategic plan for St. Joseph's Health System, which includes St. Joseph's Healthcare Hamilton, St. Joseph's Home Care, and St. Joseph's Villa Dundas. The plan includes two foundational commitments/enablers that are woven into all strategic directions.",pdf,2026-03-27,3,Invest in teams,direction,"Support our people and invest in teams to foster continuous learning and improvement, aligned with our mission.","Ensure a safe and secure work environment focused on physical, psychological and cultural safety to improve working conditions and reduce burnout | Equip our people with the tools and equipment they need to perform their best and provide compassionate care | Expand upskilling and training opportunities to allow staff and clinicians to work to their full professional practice capability, fostering continuous learning across St. Joe's Hamilton, St. Joe's Home Care and St. Joe's Villa | Update learner placement programs with our academic partners, focusing on training for future health skills to make St. Joe's a leading employer and educator | Recruit and retain Indigenous staff and leadership, investing in cultural safety training and accountability throughout St. Joe's | Expand workforce diversity and support equity-deserving communities through data-driven recruitment, retention and training, creating a welcoming environment for everyone | Become a shared learning health system rooted in data across St. Joe's Hamilton, St. Joe's Home Care and St. Joe's Villa to drive continuous improvement and better outcomes"
674,HAMILTON ST JOSEPH'S,Teaching Hospital,Teaching,TRUE,NA,NA,St. Joseph's Health System,2025-01-01,2030-01-01,2025,2025,2030,TRUE,"As a leading Catholic health care organization, we will serve all people with compassion, deliver exceptional, innovative care and relentlessly pursue solutions for a better tomorrow",Unstoppable Compassion,Dignity | Respect | Service | Responsibility | Justice | Discovery,NA,full,"Document is a comprehensive strategic plan for St. Joseph's Health System, which includes St. Joseph's Healthcare Hamilton, St. Joseph's Home Care, and St. Joseph's Villa Dundas. The plan includes two foundational commitments/enablers that are woven into all strategic directions.",pdf,2026-03-27,4,"Champion equity, diversity, inclusion and Indigenous Reconciliation",enabler,Act on our values to create a more inclusive and equitable environment for all.,NA
674,HAMILTON ST JOSEPH'S,Teaching Hospital,Teaching,TRUE,NA,NA,St. Joseph's Health System,2025-01-01,2030-01-01,2025,2025,2030,TRUE,"As a leading Catholic health care organization, we will serve all people with compassion, deliver exceptional, innovative care and relentlessly pursue solutions for a better tomorrow",Unstoppable Compassion,Dignity | Respect | Service | Responsibility | Justice | Discovery,NA,full,"Document is a comprehensive strategic plan for St. Joseph's Health System, which includes St. Joseph's Healthcare Hamilton, St. Joseph's Home Care, and St. Joseph's Villa Dundas. The plan includes two foundational commitments/enablers that are woven into all strategic directions.",pdf,2026-03-27,5,Innovate together,enabler,"Grow partnerships and embrace innovation, research, sustainability and technology to improve care and outcomes.",NA
676,HANOVER & DISTRICT,Small Hospital,Community — Small,TRUE,NA,NA,NA,2025-01-01,2030-01-01,2025,2025,2030,TRUE,Partnering for Excellence in Rural Health Care,Providing Exceptional Care,Integrity | Compassion | Collaboration,NA,partial,Document appears to be a strategic plan overview or summary page. Hospital name not clearly identified in the provided text.,pdf,2026-03-27,1,Caring for our Patients,direction,We will provide high quality patient and family-centred care.,"Provide exceptional care for all who come through our doors. | Monitor and measure our performance using quality metrics. | Be laser-focused about caring for our patients, their families and our community."
676,HANOVER & DISTRICT,Small Hospital,Community — Small,TRUE,NA,NA,NA,2025-01-01,2030-01-01,2025,2025,2030,TRUE,Partnering for Excellence in Rural Health Care,Providing Exceptional Care,Integrity | Compassion | Collaboration,NA,partial,Document appears to be a strategic plan overview or summary page. Hospital name not clearly identified in the provided text.,pdf,2026-03-27,2,Valuing our People & Teams,direction,"We will continue to value, invest in and recognize our teams.","Continue to value, invest in and recognize our people and teams. | Prioritize the growth and well-being of our people and teams. | Strategically use our resources to achieve our goals."
676,HANOVER & DISTRICT,Small Hospital,Community — Small,TRUE,NA,NA,NA,2025-01-01,2030-01-01,2025,2025,2030,TRUE,Partnering for Excellence in Rural Health Care,Providing Exceptional Care,Integrity | Compassion | Collaboration,NA,partial,Document appears to be a strategic plan overview or summary page. Hospital name not clearly identified in the provided text.,pdf,2026-03-27,3,Innovating for a Sustainable Future,direction,We will advance a forward-thinking culture into our operations to ensure our sustainability.,Ensure fiscal responsibility and financial stability. | Identify innovative solutions to ensure our sustainability. | Advocate for enhanced resources to strengthen our ability to care for our patients and community.
676,HANOVER & DISTRICT,Small Hospital,Community — Small,TRUE,NA,NA,NA,2025-01-01,2030-01-01,2025,2025,2030,TRUE,Partnering for Excellence in Rural Health Care,Providing Exceptional Care,Integrity | Compassion | Collaboration,NA,partial,Document appears to be a strategic plan overview or summary page. Hospital name not clearly identified in the provided text.,pdf,2026-03-27,4,Anticipating & Responding,direction,We will actively engage with our community and partners to understand and address community needs.,Lead with purpose. | Align our efforts with those of Ontario Health and our local health care partners. | Anticipate and respond to the needs of our community through active engagement and partnerships.
681,HEARST NOTRE DAME,Small Hospital,Community — Small,TRUE,NA,NA,Hôpital Notre-Dame Hospital (Hearst),2024-01-01,2027-01-01,2024,2024,2027,TRUE,Collaborating for exceptional healthcare.,Working together to continuously improve the quality and safety of our services to patients.,Caring | listening | inclusion | transparency | teamwork,NA,full,NA,pdf,2026-03-27,1,Our patients,direction,Providing exceptional and safe care,Involving patients and their families with the care team | Smooth navigation through the care continuum | Providing safe and appropriate care | Patient-centered care in all its dimensions
681,HEARST NOTRE DAME,Small Hospital,Community — Small,TRUE,NA,NA,Hôpital Notre-Dame Hospital (Hearst),2024-01-01,2027-01-01,2024,2024,2027,TRUE,Collaborating for exceptional healthcare.,Working together to continuously improve the quality and safety of our services to patients.,Caring | listening | inclusion | transparency | teamwork,NA,full,NA,pdf,2026-03-27,2,Our people,direction,Creating a healthy and safe work environment focused on well-being,Attract new talents | Communication and teamwork | Culture of professional development and mentoring | Employee retention | Reduction of adverse events
681,HEARST NOTRE DAME,Small Hospital,Community — Small,TRUE,NA,NA,Hôpital Notre-Dame Hospital (Hearst),2024-01-01,2027-01-01,2024,2024,2027,TRUE,Collaborating for exceptional healthcare.,Working together to continuously improve the quality and safety of our services to patients.,Caring | listening | inclusion | transparency | teamwork,NA,full,NA,pdf,2026-03-27,3,Our partners,direction,Working in partnership to ensure the best healthcare,Collaborating with partners to ensure efficient resource utilization | Development of regional partnerships
681,HEARST NOTRE DAME,Small Hospital,Community — Small,TRUE,NA,NA,Hôpital Notre-Dame Hospital (Hearst),2024-01-01,2027-01-01,2024,2024,2027,TRUE,Collaborating for exceptional healthcare.,Working together to continuously improve the quality and safety of our services to patients.,Caring | listening | inclusion | transparency | teamwork,NA,full,NA,pdf,2026-03-27,4,Our growth,direction,Grow sustainably and creatively to meet future needs,Awareness of the changing needs of our communities | Encourage innovation | Promotion of an eco-responsible culture
682,HORNEPAYNE COMMUNITY,Small Hospital,Community — Small,TRUE,NA,NA,Hornepayne Community Hospital,2011-01-01,2012-01-01,2011,2011,2012,TRUE,NA,NA,NA,"The Hornepayne Community Hospital Patient-Safety Plan is designed to improve patient safety, reduce risk and respect the dignity of those we serve by assuring a safe environment. Recognizing that effective medical/health care error reduction requires an integrated and co-ordinated approach, the following plan relates specifically to a systematic hospital-wide program to minimize physical injury, accidents and undue psychological stress during hospitalization. The organization wide safety program will include all activities contributing to the maintenance and improvement of patient safety. Leadership assumes a role in establishing a culture of safety that minimizes hazards and patient harm by focussing on processes of care. The leaders of the organization are responsible for fostering an environment through their personal example; emphasizing patient safety as an organizational priority; providing education to medical and hospital staff regarding the commitment to reduction of medical errors; supporting proactive education in medical/health care errors; and integrating patient safety practices into the design and redesign of all relevant organization processes, functions, and services.",thin,"This document is specifically a Patient-Safety Plan for 2011/2012, not a comprehensive strategic plan. It contains detailed patient safety objectives and procedures but lacks the typical strategic directions, vision, mission, and values found in strategic plans.",pdf,2026-03-27,NA,NA,NA,NA,NA
684,Rural Roads Health servcies INGERSOLL ALEXANDRA,Small Hospital,Community — Small,TRUE,NA,NA,NA,2024-01-01,2026-01-01,2024,2024,2026,TRUE,"Your regional health hub providing excellent patient care and access to integrated, specialized care through entry points close to home",To be a key partner in supporting the health of our communities with excellent patient care and accessible specialized services,Quality | Accessible Care | Collaboration | Innovation | Community,NA,partial,Hospital name not identified in the document. Strategic priorities are listed but without detailed descriptions or key actions.,txt,2026-03-27,1,"Together, pursue fulsome organizational integration toward better patient care and best use of our resources",direction,NA,NA
684,Rural Roads Health servcies INGERSOLL ALEXANDRA,Small Hospital,Community — Small,TRUE,NA,NA,NA,2024-01-01,2026-01-01,2024,2024,2026,TRUE,"Your regional health hub providing excellent patient care and access to integrated, specialized care through entry points close to home",To be a key partner in supporting the health of our communities with excellent patient care and accessible specialized services,Quality | Accessible Care | Collaboration | Innovation | Community,NA,partial,Hospital name not identified in the document. Strategic priorities are listed but without detailed descriptions or key actions.,txt,2026-03-27,2,"Proud of our rural roots, as small and unique hospitals, advance our service delivery model",direction,NA,NA
684,Rural Roads Health servcies INGERSOLL ALEXANDRA,Small Hospital,Community — Small,TRUE,NA,NA,NA,2024-01-01,2026-01-01,2024,2024,2026,TRUE,"Your regional health hub providing excellent patient care and access to integrated, specialized care through entry points close to home",To be a key partner in supporting the health of our communities with excellent patient care and accessible specialized services,Quality | Accessible Care | Collaboration | Innovation | Community,NA,partial,Hospital name not identified in the document. Strategic priorities are listed but without detailed descriptions or key actions.,txt,2026-03-27,3,"With our partners, serve our communities exceptionally well by creating an integrated system",direction,NA,NA
684,Rural Roads Health servcies INGERSOLL ALEXANDRA,Small Hospital,Community — Small,TRUE,NA,NA,NA,2024-01-01,2026-01-01,2024,2024,2026,TRUE,"Your regional health hub providing excellent patient care and access to integrated, specialized care through entry points close to home",To be a key partner in supporting the health of our communities with excellent patient care and accessible specialized services,Quality | Accessible Care | Collaboration | Innovation | Community,NA,partial,Hospital name not identified in the document. Strategic priorities are listed but without detailed descriptions or key actions.,txt,2026-03-27,4,"We are powered by our people, and commit to supporting them to be at their best",direction,NA,NA
685,MICS Group IROQUOIS FALLS ANSON GENERAL,Small Hospital,Community — Small,TRUE,NA,NA,MICs Group of Health Services,2023-01-01,2026-01-01,2023,2023,2026,TRUE,Quality care for everyone always!,Partnering to deliver excellent health care for our communities.,Accountability | Quality | Integrity | Respect,NA,full,Document is bilingual (English and French) with identical strategic content presented in both languages,pdf,2026-03-27,1,"Equity, Diversity, Inclusivity & Belonging",direction,NA,"Continue to build upon equity, diversity, inclusivity & belonging culture."
685,MICS Group IROQUOIS FALLS ANSON GENERAL,Small Hospital,Community — Small,TRUE,NA,NA,MICs Group of Health Services,2023-01-01,2026-01-01,2023,2023,2026,TRUE,Quality care for everyone always!,Partnering to deliver excellent health care for our communities.,Accountability | Quality | Integrity | Respect,NA,full,Document is bilingual (English and French) with identical strategic content presented in both languages,pdf,2026-03-27,2,Partnerships,direction,NA,Maximize external partnership opportunities. | Engage with our Team and stakeholders. | Formalize a Public Relations/Communication Plan.
685,MICS Group IROQUOIS FALLS ANSON GENERAL,Small Hospital,Community — Small,TRUE,NA,NA,MICs Group of Health Services,2023-01-01,2026-01-01,2023,2023,2026,TRUE,Quality care for everyone always!,Partnering to deliver excellent health care for our communities.,Accountability | Quality | Integrity | Respect,NA,full,Document is bilingual (English and French) with identical strategic content presented in both languages,pdf,2026-03-27,3,Safety,direction,NA,Promote a just culture. | Build capacity and knowledge to mitigate workplace violence. | Leverage technology to enhance patient/resident safety.
685,MICS Group IROQUOIS FALLS ANSON GENERAL,Small Hospital,Community — Small,TRUE,NA,NA,MICs Group of Health Services,2023-01-01,2026-01-01,2023,2023,2026,TRUE,Quality care for everyone always!,Partnering to deliver excellent health care for our communities.,Accountability | Quality | Integrity | Respect,NA,full,Document is bilingual (English and French) with identical strategic content presented in both languages,pdf,2026-03-27,4,Seamless Care,direction,NA,"Optimize transition of care for patients and residents. | Collaborate with patients, residents and families for a positive healthcare experience. | Enhance/Improve current services."
685,MICS Group IROQUOIS FALLS ANSON GENERAL,Small Hospital,Community — Small,TRUE,NA,NA,MICs Group of Health Services,2023-01-01,2026-01-01,2023,2023,2026,TRUE,Quality care for everyone always!,Partnering to deliver excellent health care for our communities.,Accountability | Quality | Integrity | Respect,NA,full,Document is bilingual (English and French) with identical strategic content presented in both languages,pdf,2026-03-27,5,Sustainability,direction,NA,Invest in innovative talent management strategies. | Support environmental growth and initiatives. | Attain financial sustainability.
686,WAWA LADY DUNN HC,Small Hospital,Community — Small,TRUE,NA,NA,Lady Dunn Health Centre,2022-01-01,2027-01-01,2022,2022,2027,TRUE,"Excellent health care for every one, every day.",To provide our communities with high quality health services.,Respect | Trust | Integrity | Compassion | Inclusiveness,NA,full,NA,pdf,2026-03-27,1,Focus On Quality In Delivering Our Services,direction,"In focusing on quality, we hold ourselves to the highest standards by ensuring that we deliver care on evidence-based best practices, and by always putting clients first.","Continuously improve and resource processes to ensure quality results. | Implement and consistently apply quality standards and checks in delivering care while focusing on environmental stewardship. | Deliver services to meet the linguistic and cultural needs of Francophones and Indigenous People as well as other diverse groups. | Implement the ONE Project, partnering with regional health service providers to share a common health information system. | Advance the scope of registered staff."
686,WAWA LADY DUNN HC,Small Hospital,Community — Small,TRUE,NA,NA,Lady Dunn Health Centre,2022-01-01,2027-01-01,2022,2022,2027,TRUE,"Excellent health care for every one, every day.",To provide our communities with high quality health services.,Respect | Trust | Integrity | Compassion | Inclusiveness,NA,full,NA,pdf,2026-03-27,2,Create and Sustain Organizational Resilience,direction,"By increasing resilience, we increase our effectiveness and help to ensure our sustainability.","Continue to support staff members in creating a harmonious, safe and healthy work environment. | Develop project management and change management methodologies to use consistently. | Increase the capacity and engagement of organization leaders in developing, monitoring, and managing their budgets. | Strengthen processes relating to recruitment, retention and succession planning. | Expand on successes in clinical training to provide comprehensive training opportunities for all staff. | Integrate technology in how we work in all areas."
